filename	source_url	bytes	status
training-games_20A46A1E1B3A6231A940C7FC8349AD8C.sgf	https://katagotraining.org/sgf-files/training-games/20A46A1E1B3A6231A940C7FC8349AD8C.sgf	14175	existing
training-games_5AC24C3C597D1A5241C26F3384CEBD48.sgf	https://katagotraining.org/sgf-files/training-games/5AC24C3C597D1A5241C26F3384CEBD48.sgf	14059	existing
training-games_DDFDA71356C7E26171CAAF259AE06D70.sgf	https://katagotraining.org/sgf-files/training-games/DDFDA71356C7E26171CAAF259AE06D70.sgf	15833	existing
rating-games_88A289D19B5A3E2C24281D63592C6D45.sgf	https://katagotraining.org/sgf-files/rating-games/88A289D19B5A3E2C24281D63592C6D45.sgf	6636	existing
training-games_FFE6E60FEE5619861EE9073DBAB54CCC.sgf	https://katagotraining.org/sgf-files/training-games/FFE6E60FEE5619861EE9073DBAB54CCC.sgf	10902	existing
training-games_59D54ED40FF1D5F59B9C21346158AB7A.sgf	https://katagotraining.org/sgf-files/training-games/59D54ED40FF1D5F59B9C21346158AB7A.sgf	13269	existing
training-games_39812550534FEE34385FEBB55EE3972C.sgf	https://katagotraining.org/sgf-files/training-games/39812550534FEE34385FEBB55EE3972C.sgf	14566	existing
rating-games_DAA814DBE7F9F91F1402C8087231F62A.sgf	https://katagotraining.org/sgf-files/rating-games/DAA814DBE7F9F91F1402C8087231F62A.sgf	6580	existing
rating-games_919403BAE9682E61A6BFAFBA636B0084.sgf	https://katagotraining.org/sgf-files/rating-games/919403BAE9682E61A6BFAFBA636B0084.sgf	5516	existing
rating-games_C22224F0C6917581334C73159A536E2E.sgf	https://katagotraining.org/sgf-files/rating-games/C22224F0C6917581334C73159A536E2E.sgf	8111	existing
rating-games_E87A450D0207BB2092483930F77B9EB9.sgf	https://katagotraining.org/sgf-files/rating-games/E87A450D0207BB2092483930F77B9EB9.sgf	7657	existing
